San cristobal, venezuela	COLOMBIA; SAN CRISTOBAL, VENEZUELA	San cristobal, venezuela
Sanriku, japan	SANRIKU, JAPAN	Sanriku, japan
Saudi arabia	SAUDI ARABIA: WESTERN	Saudi arabia
Scotia sea	SCOTIA SEA:  SOUTH ORKNEY ISLANDS: LAURIE IS	Scotia sea
Se. hokkaido island, japan	SE. HOKKAIDO ISLAND, JAPAN	Se. hokkaido island, japan
Se. new zealand	SE. NEW ZEALAND	Se. new zealand
Sea of japan	SEA OF JAPAN	Sea of japan
Seikaido, japan	SEIKAIDO, JAPAN	Seikaido, japan
Seikaido-nankaido	SEIKAIDO-NANKAIDO	Seikaido-nankaido
Seionaikai, japan	SEIONAIKAI, JAPAN	Seionaikai, japan
Shinano	SHINANO: TATE-YAMA VOLCANO	Shinano
Sichuan	CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN	Sichuan
Sierra leone	SIERRA LEONE	Sierra leone
Slovakia	SLOVAKIA:  BANSKA STIAVNICA	Slovakia
Slovenia	SLOVENIA: BOVEC, KOBARID	Slovenia
Solomon islands	SOLOMON ISLANDS:  SANTA CRUZ ISLANDS	Solomon islands
Somaki	ARMENIA; AZERBAIJAN:  SEMACHA; SOMAKI	Somaki
South africa	SOUTH AFRICA:  CAPE OF GOOD HOPE	South africa
South carolina	SOUTH CAROLINA; GEORGIA; PENNSYLVANIA	South carolina
South coasts of asia minor	SOUTH COASTS OF ASIA MINOR	South coasts of asia minor
South korea	SOUTH KOREA:  KWANGJU	South korea
South sandwich islands	SOUTH SANDWICH ISLANDS	South sandwich islands
South sudan	SOUTH SUDAN:  EQUATORIA	South sudan
Spain	SPAIN:  CADIZ	Spain
Sri lanka	SRI LANKA:  TRINCOMALEE	Sri lanka
St kitts	GUADELOUPE; ANTIGUA; ST KITTS	St kitts
St thomas	PUERTO RICO:  SAN JUAN; ST THOMAS	St thomas
Sudan	SUDAN:  KHARTOUM	Sudan
Sumatra	INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG	Sumatra
Suriname	BRAZIL; FRENCH GUIANA; SURINAME; GUYANA	Suriname
Suruga, japan	SURUGA, JAPAN	Suruga, japan
Sw. kyushu island, japan	SW. KYUSHU ISLAND, JAPAN	Sw. kyushu island, japan
Sw. sumatra	SW. SUMATRA	Sw. sumatra
Swaziland	SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI	Swaziland
Switzerland	SWITZERLAND	Switzerland
Syria	SYRIA:  UGARIT	Syria
Syrian coasts	SYRIAN COASTS	Syrian coasts
Tablas i	PHILIPPINES:  LUZON, ROMBLON I; TABLAS I:  ODIONGAN	Tablas i
Taiwan	TAIWAN:  TAINAN	Taiwan
Taiwan region	TAIWAN REGION	Taiwan region
Tajikistan	TAJIKISTAN:   KARATAG	Tajikistan
Tanzania	TANZANIA: RUKWA	Tanzania
Tasman sea	TASMAN SEA	Tasman sea
Tenedos	TURKEY: GELIBOLU (CALLIPOLI); TENEDOS	Tenedos
Texas	TEXAS:  WEST	Texas
Thailand	THAILAND:  YONOK-NAGABANDHU	Thailand
The netherlands	THE NETHERLANDS: ROERMOND; GERMANY: BONN, HEINSBERG	The netherlands
Tibet (xizang province)	NEPAL; TIBET (XIZANG PROVINCE)	Tibet (xizang province)
Timor sea	TIMOR SEA	Timor sea
Tobago	TOBAGO	Tobago
Togo	TOGO:  AGUNAH, KANA; BENIN:  ABOMEY	Togo
Tojikobod	TAJIKISTAN: RASHT; TOJIKOBOD	Tojikobod
Tokaido, japan	TOKAIDO, JAPAN	Tokaido, japan
Tonga	TONGA: HIHIFO	Tonga
Tonga islands	TONGA ISLANDS	Tonga islands
Tonga trench	TONGA TRENCH	Tonga trench
Toyama pref., japan	TOYAMA PREF., JAPAN	Toyama pref., japan
Trinidad	TRINIDAD:  PORT-OF-SPAIN	Trinidad
Trinidad & st. christopher	TRINIDAD & ST. CHRISTOPHER	Trinidad & st. christopher
Tunisia	TUNISIA:  UTIQUE	Tunisia
Turkey	TURKEY:  LYSIMACHIA	Turkey
